date,food_cpi_yoy,fx_official,pms_price,diesel_price,rainfall_mm,fao_food_index,cereals,oils,fx_chg_3m,fx_chg_6m,fx_depreciation_flag,fuel_shock_3m,fuel_shock_flag,diesel_shock_3m,rainfall_anomaly,drought_flag,global_food_shock_3m,cereals_shock_3m,oils_shock_3m,food_cpi_lag1,food_cpi_lag3,food_cpi_lag6,food_cpi_lag12,food_cpi_mom,target_3m,target_6m,risk_class,month,quarter,planting_season,harvest_season,ramadan_flag
2012-05-01,12.9,158.46,97.0,155.0,123.51,119.0,126.3,144.4,,,0,,0,,0.15675465942387726,0,,,,,,,,,9.9,11.6,Low,5,2,1,0,0
2012-06-01,12.0,162.33,97.0,154.8,145.7,115.8,125.3,135.26,,,0,,0,,0.04711450601123194,0,,,,12.9,,,,-0.9000000000000004,10.2,10.2,Low,6,2,1,0,0
2012-07-01,12.1,161.33,97.0,155.1,225.55,122.0,143.9,138.56,,,0,,0,,0.2566459726201847,0,,,,12.0,,,,0.09999999999999964,11.1,10.1,Low,7,3,0,0,1
2012-08-01,9.9,158.97,97.0,156.5,256.98,123.2,147.1,138.31,0.3218477849299406,,0,0.0,0,0.967741935483879,0.06526199845439128,0,3.529411764705892,16.468725257323836,-4.217451523545712,12.1,12.9,,,-2.1999999999999993,11.6,11.0,Low,8,3,0,0,0
2012-09-01,10.2,157.78,97.0,157.2,200.25,125.1,146.8,136.93,-2.8029322984044924,,0,0.0,0,1.5503875968992054,0.010459617658083691,0,8.031088082901562,17.158818834796506,1.2346591749223812,9.9,12.0,,,0.29999999999999893,10.2,9.5,Low,9,3,0,0,0
2012-10-01,11.1,157.24,97.0,158.0,101.1,124.0,146.5,124.9,-2.5351763466187283,,0,0.0,0,1.869761444229523,-0.054685830305620894,0,1.6393442622950838,1.8068102849200685,-9.858545034642031,10.2,12.1,,,0.9000000000000004,10.1,10.0,Low,10,4,0,1,0
2012-11-01,11.6,157.58,97.0,158.6,30.74,123.5,148.5,121.52,-0.8743788136126196,-0.5553451975261914,0,0.0,0,1.3418530351437585,0.21921921921921916,0,0.24350649350648457,0.9517335146159045,-12.139397006724028,11.1,9.9,12.9,,0.5,11.0,9.3,Low,11,4,0,1,0
2012-12-01,10.2,157.33,97.0,159.4,6.69,122.8,146.4,118.38,-0.28520725060209307,-3.080145382862076,0,0.0,0,1.3994910941475869,0.07432897453544386,0,-1.8385291766586653,-0.27247956403270157,-13.547067844884253,11.6,10.2,12.0,,-1.4000000000000004,9.5,9.6,Low,12,4,0,1,0
2013-01-01,10.1,156.96,97.0,160.0,11.09,123.4,145.2,124.28,-0.17807173747138583,-2.708733651521733,0,0.0,0,1.2658227848101333,0.8148451198129748,0,-0.4838709677419284,-0.8873720136518881,-0.4963971176941584,10.2,11.1,12.1,,-0.09999999999999964,10.0,10.0,Low,1,1,0,0,0
2013-02-01,11.0,157.52,97.0,160.8,7.85,123.3,142.3,125.55,-0.03807589795659094,-0.9121217839843876,0,0.0,0,1.3871374527112401,-0.3900882401909096,1,-0.16194331983805377,-4.175084175084165,3.316326530612246,10.1,11.6,9.9,,0.9000000000000004,9.3,9.7,Low,2,1,0,0,0
2013-03-01,9.5,158.38,97.0,161.0,27.81,122.9,139.9,122.38,0.6673870209114474,0.3802763341361315,0,0.0,0,1.0037641154328591,-0.1346653923943725,0,0.08143322475571146,-4.43989071038251,3.3789491468153354,11.0,10.2,10.2,,-1.5,9.6,9.4,Low,3,1,0,0,0
2013-04-01,10.0,158.2,97.0,160.4,79.07,122.9,134.9,120.64,0.790010193679902,0.6105316713304276,0,0.0,0,0.24999999999999467,0.500623576618588,0,-0.4051863857374438,-7.093663911845716,-2.9288702928870314,9.5,10.1,11.1,,0.5,10.0,9.2,Low,4,2,1,0,0
2013-05-01,9.3,158.02,97.0,159.8,101.06,122.2,136.4,121.05,0.31742001015744314,0.2792232516816817,0,0.0,0,-0.6218905472636815,-0.05350476980506004,0,-0.8921330089213253,-4.146170063246668,-3.584229390681004,10.0,11.0,11.6,12.9,-0.6999999999999993,9.7,9.3,Low,5,2,1,0,0
2013-06-01,9.6,160.02,97.0,159.0,120.2,120.9,133.8,120.68,1.0354842783179885,1.7097819869065,0,0.0,0,-1.2422360248447228,-0.1361484995020584,0,-1.6273393002441017,-4.360257326661898,-1.3891158686059724,9.3,9.5,10.2,12.0,0.29999999999999893,9.4,9.3,Low,6,2,1,0,0
2013-07-01,10.0,161.12,97.0,158.1,156.06,118.0,126.4,116.22,1.845764854614429,2.650356778797147,0,0.0,0,-1.4339152119700826,-0.13051575931232096,0,-3.986981285598057,-6.3009636767976325,-3.6637931034482762,9.6,10.0,10.1,12.1,0.40000000000000036,9.2,9.3,Low,7,3,0,0,1
2013-08-01,9.7,161.15,97.0,157.2,232.62,116.2,119.2,111.89,1.9807619288697564,2.304469273743015,0,0.0,0,-1.6270337922403177,-0.03571777538928911,0,-4.909983633387894,-12.609970674486803,-7.567121024370094,10.0,9.3,11.0,9.9,-0.3000000000000007,9.3,9.2,Low,8,3,0,0,0
2013-09-01,9.4,161.96,97.0,156.0,170.3,116.4,116.7,112.92,1.2123484564429354,2.26038641242583,0,0.0,0,-1.8867924528301883,-0.14066780081312527,0,-3.7220843672456594,-12.780269058295968,-6.430228704010609,9.7,9.6,9.5,10.2,-0.29999999999999893,9.3,9.3,Low,9,3,0,0,0
2013-10-01,9.2,159.83,97.0,155.8,104.0,118.7,118.7,116.04,-0.8006454816285924,1.0303413400758688,0,0.0,0,-1.454775458570512,-0.027569993588373566,0,0.5932203389830581,-6.091772151898733,-0.15487867836860847,9.4,10.0,10.0,11.1,-0.20000000000000107,9.3,9.4,Low,10,4,0,1,0
2013-11-01,9.3,158.79,97.0,155.2,26.94,118.6,118.0,121.97,-1.4644740924604438,0.4872800911276842,0,0.0,0,-1.2722646310432517,0.06850246472887989,0,2.06540447504302,-1.0067114093959773,9.008847975690415,9.2,9.7,9.3,11.6,0.10000000000000142,9.2,9.7,Low,11,4,0,1,0
