Date (yy-mm-01),Exchange rate
00-01-01,98.97
00-02-01,100
00-03-01,101
00-04-01,100.44
00-05-01,101.37
00-06-01,101.83
00-07-01,105.36
00-08-01,102.9
00-09-01,102.41
00-10-01,102.48
00-11-01,102.53
00-12-01,106.7
01-01-01,110.5
01-02-01,110.72
01-03-01,110.66
01-04-01,113.74
01-05-01,113.57
01-06-01,112.5
01-07-01,111.85
01-08-01,111.7
01-09-01,111.6
01-10-01,111.6
01-11-01,111.99
01-12-01,112.99
02-01-01,113.96
02-02-01,115.29
02-03-01,116.86
02-04-01,116.91
02-05-01,117.25
02-06-01,119.27
02-07-01,125.64
02-08-01,132.44
02-09-01,129.91
02-10-01,128.49
02-11-01,128.58
02-12-01,129.63
03-01-01,129.47
03-02-01,128.75
03-03-01,128.88
03-04-01,129.21
03-05-01,129.08
03-06-01,128.98
03-07-01,128.89
03-08-01,129.13
03-09-01,129.04
03-10-01,131.71
03-11-01,141.85
03-12-01,140.19
04-01-01,137.76
04-02-01,136.44
04-03-01,134.8
04-04-01,137.23
04-05-01,134.81
04-06-01,133.54
04-07-01,134.39
04-08-01,133.23
04-09-01,133.77
04-10-01,133.76
04-11-01,133.15
04-12-01,133.14
05-01-01,133.11
05-02-01,133.15
05-03-01,133.09
05-04-01,133.06
05-05-01,133.37
05-06-01,134.35
05-07-01,135.35
05-08-01,135.94
05-09-01,132.55
05-10-01,131.09
05-11-01,130.8
05-12-01,130.08
06-01-01,129.93
06-02-01,129.33
06-03-01,128.68
06-04-01,128.58
06-05-01,128.57
06-06-01,128.5
06-07-01,128.43
06-08-01,128.43
06-09-01,128.39
06-10-01,128.42
06-11-01,128.42
06-12-01,128.39
07-01-01,128.37
07-02-01,128.33
07-03-01,128.25
07-04-01,127.99
07-05-01,127.62
07-06-01,127.49
07-07-01,127.2
07-08-01,126.59
07-09-01,125.73
07-10-01,123.43
07-11-01,119.45
07-12-01,118.23
08-01-01,117.72
08-02-01,117.5
08-03-01,116.79
08-04-01,117.47
08-05-01,117.79
08-06-01,117.74
08-07-01,117.71
08-08-01,117.69
08-09-01,117.62
08-10-01,117.72
08-11-01,117.88
08-12-01,134.33
09-01-01,146.59
09-02-01,149.11
09-03-01,149.11
09-04-01,149.11
09-05-01,149.11
09-06-01,148.54
09-07-01,149.88
09-08-01,155.23
09-09-01,153.25
09-10-01,150.22
09-11-01,151.03
09-12-01,149.8
10-01-01,150.33
10-02-01,150.97
10-03-01,150.08
10-04-01,150.38
10-05-01,151.49
10-06-01,151.28
10-07-01,150.27
10-08-01,150.7
10-09-01,152.62
10-10-01,151.78
10-11-01,150.55
10-12-01,152.63
11-01-01,152.47
11-02-01,152.86
