Date (yy-mm-01),Rainfall/precipitation (mm)
1951-01-01,11.91
1951-02-01,18.14
1951-03-01,53.01
1951-04-01,51.17
1951-05-01,150.23
1951-06-01,134.57
1951-07-01,172.08
1951-08-01,170.2
1951-09-01,204.1
1951-10-01,199.62
1951-11-01,53.82
1951-12-01,1.72
1952-01-01,11.05
1952-02-01,12.16
1952-03-01,28.53
1952-04-01,70.5
1952-05-01,86.77
1952-06-01,138.8
1952-07-01,219.97
1952-08-01,165.7
1952-09-01,217.54
1952-10-01,129.53
1952-11-01,46.24
1952-12-01,13.31
1953-01-01,5.5
1953-02-01,26.16
1953-03-01,37.43
1953-04-01,21.65
1953-05-01,149.57
1953-06-01,166.15
1953-07-01,197.96
1953-08-01,185.41
1953-09-01,171.36
1953-10-01,103.69
1953-11-01,18.84
1953-12-01,6.83
1954-01-01,10.28
1954-02-01,27.27
1954-03-01,43.86
1954-04-01,67.73
1954-05-01,71.17
1954-06-01,109.13
1954-07-01,142.14
1954-08-01,228.68
1954-09-01,144.48
1954-10-01,130.66
1954-11-01,48.0
1954-12-01,7.91
1955-01-01,7.22
1955-02-01,9.11
1955-03-01,32.99
1955-04-01,56.26
1955-05-01,99.63
1955-06-01,182.96
1955-07-01,240.85
1955-08-01,208.15
1955-09-01,185.0
1955-10-01,95.18
1955-11-01,10.88
1955-12-01,5.28
1956-01-01,5.01
1956-02-01,18.55
1956-03-01,57.81
1956-04-01,52.3
1956-05-01,58.87
1956-06-01,119.53
1956-07-01,223.78
1956-08-01,236.35
1956-09-01,240.99
1956-10-01,116.01
1956-11-01,40.91
1956-12-01,21.41
1957-01-01,10.51
1957-02-01,10.04
1957-03-01,31.2
1957-04-01,89.18
1957-05-01,190.47
1957-06-01,175.29
1957-07-01,197.14
1957-08-01,220.21
1957-09-01,157.61
1957-10-01,131.95
1957-11-01,56.4
1957-12-01,9.45
1958-01-01,11.37
1958-02-01,7.22
1958-03-01,23.14
1958-04-01,72.98
1958-05-01,84.46
1958-06-01,120.28
1958-07-01,108.21
1958-08-01,177.39
1958-09-01,193.53
1958-10-01,90.02
1958-11-01,35.83
1958-12-01,10.29
1959-01-01,9.96
1959-02-01,18.58
1959-03-01,22.75
1959-04-01,37.63
1959-05-01,79.91
1959-06-01,89.66
1959-07-01,148.07
1959-08-01,226.46
1959-09-01,182.72
1959-10-01,56.09
1959-11-01,21.83
1959-12-01,6.21
1960-01-01,6.1
1960-02-01,8.6
1960-03-01,26.22
1960-04-01,71.04
1960-05-01,77.65
1960-06-01,124.66
1960-07-01,162.31
1960-08-01,175.03
1960-09-01,184.11
1960-10-01,106.34
1960-11-01,25.31
1960-12-01,21.34
1961-01-01,11.28
1961-02-01,3.66
1961-03-01,16.13
1961-04-01,68.88
1961-05-01,83.59
1961-06-01,134.93
1961-07-01,197.22
1961-08-01,172.87
1961-09-01,156.16
1961-10-01,64.65
1961-11-01,16.13
1961-12-01,4.09
1962-01-01,4.92
1962-02-01,7.02
1962-03-01,38.85
1962-04-01,71.5
1962-05-01,104.56
1962-06-01,143.2
1962-07-01,183.95
1962-08-01,214.1
1962-09-01,158.74
1962-10-01,86.02
1962-11-01,38.67
1962-12-01,7.66
1963-01-01,6.38
1963-02-01,11.08
1963-03-01,15.39
1963-04-01,61.64
1963-05-01,119.95
1963-06-01,126.45
1963-07-01,192.8
1963-08-01,202.65
1963-09-01,142.51
1963-10-01,99.51
1963-11-01,12.39
1963-12-01,6.74
1964-01-01,6.41
1964-02-01,4.1
1964-03-01,17.48
1964-04-01,28.94
1964-05-01,48.27
1964-06-01,109.32
1964-07-01,165.23
1964-08-01,164.44
1964-09-01,151.5
1964-10-01,42.99
1964-11-01,15.49
